Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,Distance,#MissingDistances,Routes
900-208,,_Gar-G,3:30,7miGrv,4:00,12:50,MorMak,13:15,_Gar-G,9:45,158.924,0,3;17
900-7,,_Gar-G,3:35,9miPrv,4:00,17:48,Nor10m,18:18,_Gar-G,14:43,205.872,0,10;60
10-200,,_Gar-G,3:36,Fairla,4:00,13:51,Fairla,14:15,_Gar-G,10:39,149.263,0,10
900-209,,_Gar-G,3:38,Rosa11,3:50,11:49,RosaDB,12:01,_Gar-G,8:23,110.52,0,5;16
44774,,_Gar-G,3:40,WarTel,4:00,27:37:00,WarTel,27:57:00,_Gar-G,24:17:00,354.555,0,8
44621,,_Gar-G,3:46,BeaJef,4:00,23:10,BeaJef,23:24,_Gar-G,19:38,245.537,0,3
1-200,,_Gar-G,3:48,Rosa10,4:00,11:55,RosaDB,12:07,_Gar-G,8:19,94.584,0,1
900-205,,_Gar-G,3:48,Rosa09,4:00,13:48,RosaDB,14:00,_Gar-G,10:12,124.261,0,2;18
900-213,,_Gar-G,3:48,Rosa14,4:00,14:09,RosaDB,14:21,_Gar-G,10:33,139.19,0,16;5
900-200,,_Gar-G,3:49,MicSch,4:05,12:39,RosaDB,12:51,_Gar-G,9:02,112.339,0,1;5;16
7-200,,_Gar-G,3:57,MeiRed,4:15,13:11,MeiRed,13:29,_Gar-G,9:32,146.122,0,7
17-200,,_Gar-G,4:00,7miGrv,4:30,11:50,MorMak,12:15,_Gar-G,8:15,148.306,0,17
900-8,,_Gar-G,4:01,Nrt8mi,4:26,20:36,Nrt8mi,21:01,_Gar-G,17:00,237.401,0,16;5
8-200,,_Gar-G,4:40,WarTel,5:00,12:34,MorMak,12:59,_Gar-G,8:19,127.846,0,8
900-12,,_Gar-G,4:48,Rosa02,5:00,22:00,RosaDB,22:12,_Gar-G,17:24,232.1,0,19;23
900-13,,_Gar-G,4:48,Rosa09,5:00,21:41,LivFlo,21:57,_Gar-G,17:09,226.461,0,2;27;29
900-9,,_Gar-G,4:48,Rosa14,5:00,22:43,RosaDB,22:55,_Gar-G,18:07,235.646,0,16;5
60-200,,_Gar-G,5:30,Evr10m,6:00,14:48,Fairla,15:12,_Gar-G,9:42,127.569,0,60
21916,,_Gar-G,5:36,Fairla,6:00,18:48,Nor10m,19:18,_Gar-G,13:42,174.676,0,60
900-206,,_Gar-G,5:40,FnkTel,6:00,12:23,RosaDB,12:35,_Gar-G,6:55,103.409,0,18;2
18-200,,_Gar-G,5:48,Rosa03,6:00,15:43,FnkTel,16:03,_Gar-G,10:15,150.504,0,18
900-10,,_Gar-G,6:27,Nrt8mi,6:52,17:19,RosaDB,17:31,_Gar-G,11:04,150.969,0,16;5
900-220,,_Gar-G,6:28,RdfPlz,6:58,16:09,MicSch,16:25,_Gar-G,9:57,132.393,0,27;29;1
43-200,,_Gar-G,6:30,RdfPlz,7:00,13:53,ManWoo,14:08,_Gar-G,7:38,122.685,0,43
15-400,,_Gar-G,6:35,BurPly,7:00,9:39,ManWoo,9:54,_Gar-G,3:19,47.994,0,15
900-14,,_Gar-G,6:35,LivFlo,6:51,24:26:00,GfdMic,24:46:00,_Gar-G,18:11,237.031,0,29;27;2
900-16,,_Gar-G,6:35,Sch8mi,7:00,21:45,BrenLp,22:06,_Gar-G,15:31,226.503,0,41;30
44591,,_Gar-G,6:36,BrenLp,6:57,21:43,Fairgd,22:03,_Gar-G,15:27,232.531,0,30
