Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,Distance,#MissingDistances,Routes
38-200,,_Gar-S,3:24,PlyGrv,3:39,12:26,FrcGrt,12:35,_Gar-S,9:11,143.309,0,38
4-200,,_Gar-S,3:39,Fairgd,3:59,13:08,Fairgd,13:28,_Gar-S,9:49,129.55,0,4
7-200,,_Gar-S,3:43,MorMak,3:55,12:41,MorMak,12:53,_Gar-S,9:10,130.635,0,7
6-1,,_Gar-S,3:46,3rdMic,4:03,22:27,3rdMic,22:43,_Gar-S,18:57,225.806,0,6
4-201,,_Gar-S,3:48,WooLar,4:08,11:08,Fairgd,11:28,_Gar-S,7:40,100.022,0,4
17-200,,_Gar-S,3:48,MorMak,4:00,13:20,MorMak,13:32,_Gar-S,9:44,157.219,0,17
6-200,,_Gar-S,3:58,Grt8mi,4:13,13:16,Grt8mi,13:31,_Gar-S,9:33,114.878,0,6
900-3,,_Gar-S,4:08,JefMyd,4:16,21:43,RosaDB,21:59,_Gar-S,17:51,232.421,0,9;31;16
900-202,,_Gar-S,4:18,MorMak,4:30,13:11,MorMak,13:23,_Gar-S,9:05,131.118,0,8;7
38-201,,_Gar-S,4:28,FrcGrt,4:37,13:26,FrcGrt,13:35,_Gar-S,9:07,128.887,0,38
900-9,,_Gar-S,4:34,Rosa11,4:50,21:56,RosaDB,22:12,_Gar-S,17:38,230.44,0,5;9;31
7-201,,_Gar-S,4:43,MorMak,4:55,13:41,MorMak,13:53,_Gar-S,9:10,130.635,0,7
17-201,,_Gar-S,4:48,MorMak,5:00,13:50,MorMak,14:02,_Gar-S,9:14,157.219,0,17
32-1,,_Gar-S,5:04,CdxMak,5:20,24:33:00,MeiRed,25:03:00,_Gar-S,19:59,302.934,0,32
900-7,,_Gar-S,5:10,BelAir,5:30,20:56,StjJef,21:04,_Gar-S,15:54,191.759,0,13;68
900-11,,_Gar-S,5:15,MeiRed,5:45,28:09:00,MorMak,28:21:00,_Gar-S,23:06,340.6,0,32;8
38-400,,_Gar-S,5:28,FrcGrt,5:37,11:26,FrcGrt,11:35,_Gar-S,6:07,87.087,0,38
900-4,,_Gar-S,5:35,MorMak,5:47,28:50:00,MorMak,29:02:00,_Gar-S,23:27,321.367,0,31;9;17
900-8,,_Gar-S,5:37,StjJef,5:45,20:38,StjJef,20:46,_Gar-S,15:09,181.337,0,13;68
4-1,,_Gar-S,5:40,Fairgd,6:00,22:15,Fairgd,22:35,_Gar-S,16:55,200.163,0,4
900-211,,_Gar-S,5:42,Rosa07,5:58,15:55,MorMak,16:07,_Gar-S,10:25,137.486,0,31;9;67;52
900-401,,_Gar-S,5:45,NevVdk,6:00,10:50,RosaDB,11:06,_Gar-S,5:21,77.219,0,52;67
900-400,,_Gar-S,5:50,Shr8mi,6:05,11:41,Shr8mi,11:56,_Gar-S,6:06,81.322,0,68;13
32-2,,_Gar-S,6:04,CdxMak,6:20,24:02:00,MorMak,24:14:00,_Gar-S,18:10,269.92,0,32
6-2,,_Gar-S,6:16,3rdMic,6:33,18:44,Grt8mi,18:59,_Gar-S,12:43,149.569,0,6
900-12,,_Gar-S,6:44,Rosa02,7:00,27:39:00,MorMak,27:51:00,_Gar-S,21:07,287.686,0,19;23;67;52;7
900-212,,_Gar-S,6:44,Rosa01,7:00,12:50,RosaDB,13:06,_Gar-S,6:22,93.827,0,52;67
900-13,,_Gar-S,6:45,NevVdk,7:00,21:49,RosaDB,22:05,_Gar-S,15:20,206.531,0,52;67
900-209,,_Gar-S,6:46,MeiGat,7:06,12:53,MeiGat,13:13,_Gar-S,6:27,101.562,0,23;19
900-10,,_Gar-S,6:48,MorMak,7:00,27:50:00,MorMak,28:02:00,_Gar-S,21:14,294.114,0,67;52;9;31;17
42-200,,_Gar-S,7:00,ManWoo,7:15,12:05,ManWoo,12:20,_Gar-S,5:20,82.789,0,42
900-1,,_Gar-S,7:10,Fairgd,7:30,17:48,Fairgd,18:08,_Gar-S,10:58,141.83,0,12;4
900-6,,_Gar-S,7:17,EgbJef,7:32,27:45:00,Fairgd,28:05:00,_Gar-S,20:48,239.696,0,12;4
8-1,,_Gar-S,7:18,MorMak,7:30,22:12,MorMak,22:24,_Gar-S,15:06,213.343,0,8
6-201,,_Gar-S,7:56,Grt8mi,8:11,12:57,3rdMic,13:13,_Gar-S,5:17,65.793,0,6
4-202,,_Gar-S,8:08,WooLar,8:28,15:48,Fairgd,16:08,_Gar-S,8:00,100.022,0,4
7-1,,_Gar-S,8:08,MorMak,8:20,18:41,MeiRed,19:11,_Gar-S,11:03,164.199,0,7
900-5,,_Gar-S,8:10,MorMak,8:22,18:44,MorMak,18:56,_Gar-S,10:46,135.722,0,31;9
900-2,,_Gar-S,8:14,Rosa07,8:30,18:32,MorMak,18:44,_Gar-S,10:30,142.775,0,31;9;8
17-400,,_Gar-S,8:18,MorMak,8:30,11:20,MorMak,11:32,_Gar-S,3:14,59.633,0,17
4-402,,_Gar-S,8:21,Fairgd,8:41,11:01,WooLar,11:17,_Gar-S,2:56,46.725,0,4
900-201,,_Gar-S,10:14,Rosa07,10:30,19:42,BelAir,20:02,_Gar-S,9:48,129.356,0,31;5;16
4-203,,_Gar-S,10:48,WooLar,11:08,20:27,Fairgd,20:47,_Gar-S,9:59,117.675,0,4
900-200,,_Gar-S,11:10,Fairgd,11:30,20:36,WooLar,20:52,_Gar-S,9:42,123.491,0,12;4
17-202,,_Gar-S,11:18,MorMak,11:30,20:50,MorMak,21:02,_Gar-S,9:44,157.219,0,17
38-202,,_Gar-S,11:28,FrcGrt,11:37,14:26,FrcGrt,14:35,_Gar-S,3:07,45.286,0,38
900-206,,_Gar-S,11:44,Rosa14,12:00,19:09,RosaDB,19:25,_Gar-S,7:41,112.98,0,16;5
900-213,,_Gar-S,11:44,Rosa01,12:00,23:49,RosaDB,24:05:00,_Gar-S,12:21,171.527,0,52;67
17-203,,_Gar-S,11:48,MorMak,12:00,14:50,MorMak,15:02,_Gar-S,3:14,59.633,0,17
900-205,,_Gar-S,11:50,Shr8mi,12:05,20:38,Shr8mi,20:53,_Gar-S,9:03,116.215,0,68;13
42-201,,_Gar-S,12:00,ManWoo,12:15,19:03,ManWoo,19:18,_Gar-S,7:18,108.173,0,42
900-204,,_Gar-S,12:10,MorMak,12:22,25:07:00,JefMyd,25:15:00,_Gar-S,13:05,174.086,0,31;9
38-206,,_Gar-S,12:28,FrcGrt,12:37,15:26,FrcGrt,15:35,_Gar-S,3:07,45.286,0,38
900-214,,_Gar-S,12:38,MorMak,12:50,21:48,NevVdk,22:03,_Gar-S,9:25,127.162,0,7;67;52
6-500,,_Gar-S,12:46,3rdMic,13:03,17:46,Grt8mi,18:01,_Gar-S,5:15,66.021,0,6
900-210,,_Gar-S,12:46,MeiGat,13:06,21:51,MeiGat,22:11,_Gar-S,9:25,140.239,0,23;19
7-202,,_Gar-S,13:08,MorMak,13:20,22:02,MorMak,22:14,_Gar-S,9:06,130.635,0,7
12-200,,_Gar-S,13:10,Fairgd,13:30,20:15,EgbJef,20:30,_Gar-S,7:20,101.189,0,12
17-204,,_Gar-S,13:18,MorMak,13:30,22:50,MorMak,23:02,_Gar-S,9:44,157.219,0,17
6-501,,_Gar-S,13:26,Grt8mi,13:41,17:16,Grt8mi,17:31,_Gar-S,4:05,52.217,0,6
38-203,,_Gar-S,13:28,FrcGrt,13:37,22:26,FrcGrt,22:35,_Gar-S,9:07,128.887,0,38
7-203,,_Gar-S,13:38,MorMak,13:50,22:30,MorMak,22:42,_Gar-S,9:04,130.635,0,7
17-500,,_Gar-S,13:48,MorMak,14:00,16:50,MorMak,17:02,_Gar-S,3:14,59.633,0,17
38-204,,_Gar-S,14:28,FrcGrt,14:37,21:50,MidSco,22:20,_Gar-S,7:52,127.77,0,38
4-519,,_Gar-S,15:01,Fairgd,15:21,20:08,Fairgd,20:28,_Gar-S,5:27,76.591,0,4
900-207,,_Gar-S,15:18,MorMak,15:30,23:49,MorMak,24:01:00,_Gar-S,8:43,134.514,0,17;67
38-205,,_Gar-S,15:28,FrcGrt,15:37,22:50,MidSco,23:20,_Gar-S,7:52,127.77,0,38
900-203,,_Gar-S,15:38,MorMak,15:50,25:02:00,MorMak,25:14:00,_Gar-S,9:36,136.707,0,7;32
900-208,,_Gar-S,15:48,MorMak,16:00,23:47,MorMak,23:59,_Gar-S,8:11,130.48,0,17;31
6-202,,_Gar-S,17:30,Grt8mi,17:45,27:38:00,Grt8mi,27:53:00,_Gar-S,10:23,135.765,0,6
4-204,,_Gar-S,17:41,Fairgd,18:01,27:32:00,WooLar,27:48:00,_Gar-S,10:07,117.338,0,4
6-203,,_Gar-S,18:00,Grt8mi,18:15,27:49:00,3rdMic,28:05:00,_Gar-S,10:05,128.454,0,6
7-204,,_Gar-S,18:20,MeiRed,18:50,28:39:00,MorMak,28:51:00,_Gar-S,10:31,165.273,0,7
-400,CAR,_Gar-S,11:16,ChlWar,11:22,11:22,ChlWar,11:28,_Gar-S,0:12,,2,CAR
-401,CAR,_Gar-S,11:44,CnrWar,11:50,11:50,CnrWar,11:56,_Gar-S,0:12,,2,CAR
-501,CAR,_Gar-S,12:51,GrtCnr,12:55,12:55,GrtCnr,12:59,_Gar-S,0:08,,2,CAR
-502,CAR,_Gar-S,12:53,MakStj,12:57,12:57,MakStj,13:01,_Gar-S,0:08,,2,CAR
-503,CAR,_Gar-S,13:16,WooOwn,13:31,13:31,WooOwn,13:46,_Gar-S,0:30,,2,CAR
-504,CAR,_Gar-S,13:20,CadWar,13:24,13:24,CadWar,13:28,_Gar-S,0:08,,2,CAR
-505,CAR,_Gar-S,13:20,JefStj,13:28,13:28,JefStj,13:36,_Gar-S,0:16,,1,CAR
-506,CAR,_Gar-S,13:23,MakStj,13:27,13:27,MakStj,13:31,_Gar-S,0:08,,2,CAR
-507,CAR,_Gar-S,13:30,McnCnr,13:39,13:39,McnCnr,13:48,_Gar-S,0:18,,2,CAR
-508,CAR,_Gar-S,13:33,EodMcn,13:40,13:40,EodMcn,13:47,_Gar-S,0:14,,2,CAR
-509,CAR,_Gar-S,14:27,CadWar,14:31,14:31,CadWar,14:35,_Gar-S,0:08,,2,CAR
-510,CAR,_Gar-S,15:33,EodMcn,15:40,15:40,EodMcn,15:47,_Gar-S,0:14,,2,CAR
-511,CAR,_Gar-S,15:39,MakStj,15:43,15:43,MakStj,15:47,_Gar-S,0:08,,2,CAR
-512,CAR,_Gar-S,16:27,GrtCnr,16:31,16:31,GrtCnr,16:35,_Gar-S,0:08,,2,CAR
-513,CAR,_Gar-S,16:30,McnCnr,16:39,16:39,McnCnr,16:48,_Gar-S,0:18,,2,CAR
-514,CAR,_Gar-S,17:27,CadWar,17:31,17:31,CadWar,17:35,_Gar-S,0:08,,2,CAR
-515,CAR,_Gar-S,17:30,MteGrt,17:40,17:40,MteGrt,17:50,_Gar-S,0:20,,2,CAR
-516,CAR,_Gar-S,17:39,MakStj,17:43,17:43,MakStj,17:47,_Gar-S,0:08,,2,CAR
-517,CAR,_Gar-S,18:07,MakStj,18:11,18:11,MakStj,18:15,_Gar-S,0:08,,2,CAR
-518,CAR,_Gar-S,18:30,McnCnr,18:39,18:39,McnCnr,18:48,_Gar-S,0:18,,2,CAR
