Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,Distance,#MissingDistances,Routes
"=""900-4""",,_Gar-G,03:30,7miGrv,04:00,28:18,7miGrv,28:48,_Gar-G,25:18,364.879,0,3;17
"=""3-1""",,_Gar-G,03:35,BeaJef,04:00,27:50,7miGrv,28:20,_Gar-G,24:45,330.524,0,3
"=""10-1""",,_Gar-G,03:35,9miPrv,04:00,27:44,9miPrv,28:09,_Gar-G,24:34,331.135,0,10
"=""10-200""",,_Gar-G,03:35,Fairla,04:00,12:48,9miPrv,13:13,_Gar-G,09:38,138.766,0,10
"=""900-7""",,_Gar-G,03:40,WarTel,04:00,28:03,MeiRed,28:21,_Gar-G,24:41,351.057,0,8;7
"=""16-200""",,_Gar-G,03:48,Rosa14,04:00,12:44,RosaDB,12:56,_Gar-G,09:08,116.645,0,16
"=""900-1""",,_Gar-G,03:51,MicSch,04:07,22:18,7miGrv,22:48,_Gar-G,18:57,286.268,0,1;5;31;2;17
"=""900-3""",,_Gar-G,03:56,MicGfd,04:21,20:32,RosaDB,20:44,_Gar-G,16:48,244.286,0,2;31
"=""17-200""",,_Gar-G,04:00,7miGrv,04:30,11:51,MorMak,12:16,_Gar-G,08:16,148.306,0,17
"=""16-1""",,_Gar-G,04:01,Nrt8mi,04:26,28:06,Nrt8mi,28:31,_Gar-G,24:30,317.590,0,16
"=""7-200""",,_Gar-G,04:12,MeiRed,04:30,11:45,MorMak,12:10,_Gar-G,07:58,124.321,0,7
"=""8-200""",,_Gar-G,04:40,WarTel,05:00,15:15,MorMak,15:40,_Gar-G,11:00,168.365,0,8
"=""16-2""",,_Gar-G,04:48,Rosa14,05:00,22:44,RosaDB,22:56,_Gar-G,18:08,227.512,0,16
"=""41-1""",,_Gar-G,06:26,SchGrv,06:41,20:57,SchGrv,21:12,_Gar-G,14:46,213.624,0,41
"=""900-9""",,_Gar-G,06:26,JoySpn,06:56,25:20,GfdMic,25:40,_Gar-G,19:14,261.269,0,27;29;31;2
"=""900-400""",,_Gar-G,06:33,Rosa09,06:45,10:56,RosaDB,11:08,_Gar-G,04:35,70.217,0,2;31
"=""900-208""",,_Gar-G,06:35,BurPly,07:00,15:57,ManWoo,16:12,_Gar-G,09:37,140.041,0,15;43
"=""900-202""",,_Gar-G,06:38,Rosa11,06:50,16:16,RosaDB,16:28,_Gar-G,09:50,131.635,0,5;1
"=""30-1""",,_Gar-G,06:39,BrenLp,07:00,19:46,Fairgd,20:06,_Gar-G,13:27,203.872,0,30
"=""900-10""",,_Gar-G,06:39,LivFlo,06:55,19:35,RosaDB,19:47,_Gar-G,13:08,173.036,0,29;27
"=""30-2""",,_Gar-G,06:40,Fairgd,07:00,19:45,BrenLp,20:06,_Gar-G,13:26,203.796,0,30
"=""15-400""",,_Gar-G,06:45,ManWoo,07:00,10:36,ManWoo,10:51,_Gar-G,04:06,52.525,0,15
