Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,Distance,#MissingDistances,Routes
38-200,,_Gar-S,3:24,PlyGrv,3:39,12:27,FrcGrt,12:36,_Gar-S,9:12,143.309,0,38
900-208,,_Gar-S,3:34,Rosa11,3:50,11:46,RosaDB,12:02,_Gar-S,8:28,117.793,0,5;1;23;19
4-200,,_Gar-S,3:39,Fairgd,3:59,12:29,WooLar,12:45,_Gar-S,9:06,117.338,0,4
6-200,,_Gar-S,3:46,3rdMic,4:03,12:44,Grt8mi,12:59,_Gar-S,9:13,128.682,0,6
4-201,,_Gar-S,3:48,WooLar,4:08,13:29,WooLar,13:45,_Gar-S,9:57,123.116,0,4
17-200,,_Gar-S,3:48,MorMak,4:00,12:51,MorMak,13:03,_Gar-S,9:15,157.219,0,17
900-202,,_Gar-S,3:48,MorMak,4:00,11:56,RosaDB,12:12,_Gar-S,8:24,128.757,0,7;31;2
6-1,,_Gar-S,3:58,Grt8mi,4:13,18:14,Grt8mi,18:29,_Gar-S,14:31,177.54,0,6
900-2,,_Gar-S,4:02,JefMyd,4:10,20:42,MeiGat,21:02,_Gar-S,17:00,246.456,0,9;19;23
900-200,,_Gar-S,4:08,Rosa10,4:24,11:44,RosaDB,12:00,_Gar-S,7:52,114.931,0,1;5
8-1,,_Gar-S,4:18,MorMak,4:30,22:11,MorMak,22:23,_Gar-S,18:05,253.862,0,8
38-201,,_Gar-S,4:31,FrcGrt,4:40,13:27,FrcGrt,13:36,_Gar-S,9:05,128.887,0,38
900-206,,_Gar-S,4:44,Rosa02,5:00,14:57,RosaDB,15:13,_Gar-S,10:29,159.644,0,19;23
7-200,,_Gar-S,4:48,MorMak,5:00,13:46,MorMak,13:58,_Gar-S,9:10,130.635,0,7
17-1,,_Gar-S,4:48,MorMak,5:00,19:51,MorMak,20:03,_Gar-S,15:15,254.804,0,17
38-400,,_Gar-S,5:31,FrcGrt,5:40,11:27,FrcGrt,11:36,_Gar-S,6:05,87.087,0,38
4-202,,_Gar-S,5:39,Fairgd,5:59,14:06,Fairgd,14:26,_Gar-S,8:47,111.897,0,4
32-1,,_Gar-S,6:14,CdxMak,6:30,21:13,MakCdx,21:29,_Gar-S,15:15,222.228,0,32
6-2,,_Gar-S,6:16,3rdMic,6:33,17:44,Grt8mi,17:59,_Gar-S,11:43,149.569,0,6
32-2,,_Gar-S,6:28,MeiRed,7:00,21:43,MeiRed,22:13,_Gar-S,15:45,250.309,0,32
900-400,,_Gar-S,6:37,StjJef,6:45,10:58,StjJef,11:06,_Gar-S,4:29,58.723,0,13;68
900-204,,_Gar-S,6:40,MeiGat,7:00,15:50,JefMyd,15:58,_Gar-S,9:18,124.345,0,23;19;9
900-9,,_Gar-S,6:44,Rosa12,7:00,17:21,MorMak,17:33,_Gar-S,10:49,154.177,0,67;17
7-1,,_Gar-S,6:48,MorMak,7:00,17:16,MeiRed,17:46,_Gar-S,10:58,164.199,0,7
67-1,,_Gar-S,6:50,MorMak,7:02,20:48,MorMak,21:00,_Gar-S,14:10,193.454,0,67
900-5,,_Gar-S,6:50,Shr8mi,7:05,18:38,Shr8mi,18:53,_Gar-S,12:03,151.271,0,68;13
900-6,,_Gar-S,6:57,StjJef,7:05,18:58,StjJef,19:06,_Gar-S,12:09,146.445,0,68;13
32-200,,_Gar-S,7:14,CdxMak,7:30,13:18,MakCdx,13:34,_Gar-S,6:20,95.588,0,32
900-4,,_Gar-S,7:40,Fairgd,8:00,18:09,WooLar,18:25,_Gar-S,10:45,135.743,0,12;4
900-8,,_Gar-S,7:44,Rosa01,8:00,27:51:00,MorMak,28:03:00,_Gar-S,20:19,303.445,0,52;31;2;17
52-1,,_Gar-S,7:45,NevVdk,8:00,19:50,NevVdk,20:05,_Gar-S,12:20,162.493,0,52
4-1,,_Gar-S,7:46,WooLar,8:06,17:49,WooLar,18:05,_Gar-S,10:19,123.116,0,4
900-1,,_Gar-S,7:48,EgbJef,8:03,18:06,Fairgd,18:26,_Gar-S,10:38,126.721,0,12;4
900-3,,_Gar-S,7:54,Rosa04,8:10,28:13:00,RosaDB,28:29:00,_Gar-S,20:35,278.554,0,9;5;1
