Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,#MissingDistances,Routes,Distance,Duration,,,
44621,,_Gar-G,3:33,7miGrv,4:00,21:53,BeaJef,22:08,_Gar-G,18:35,0,3,241.583,18.583,18.58333333,,
44835,,_Gar-G,3:36,Fairla,4:00,22:18,Fairla,22:42,_Gar-G,19:06,0,10,254.206,19.1,19.1,,
44836,,_Gar-G,3:36,9miPrv,4:01,18:30,9miPrv,18:55,_Gar-G,15:19,0,10,207.913,15.317,15.31666667,,
44577,,_Gar-G,3:37,JefSby,3:56,27:50:00,JefSby,28:04:00,_Gar-G,24:27:00,0,16,286.736,0.45,0.45,,24:27:00
900-202,,_Gar-G,3:37,Rosa11,3:49,12:47,RosaDB,12:59,_Gar-G,9:22,0,5;1,113.872,9.367,9.366666667,,
44774,,_Gar-G,3:40,WarTel,4:00,20:28,WarTel,20:48,_Gar-G,17:08,0,8,232.998,17.133,17.13333333,,
900-10,,_Gar-G,3:42,MeiRed,4:00,20:56,7miGrv,21:23,_Gar-G,17:41,0,7;17,258.873,17.683,17.68333333,,
44622,,_Gar-G,3:45,BeaJef,4:00,21:28,7miGrv,21:55,_Gar-G,18:10,0,3,241.61,18.167,18.16666667,,
44593,,_Gar-G,3:48,Rosa09,4:00,18:34,Fairla,18:58,_Gar-G,15:10,0,2,208.293,15.167,15.16666667,,
900-11,,_Gar-G,3:48,Rosa10,4:00,22:52,FnkTel,23:22,_Gar-G,19:34,0,1;5;18,256.173,19.567,19.56666667,,
900-203,,_Gar-G,3:53,MicSch,4:05,13:26,RosaDB,13:38,_Gar-G,9:45,0,1;5,120.473,9.75,9.75,,
44623,,_Gar-G,4:03,7miGrv,4:30,22:21,BeaJef,22:36,_Gar-G,18:33,0,3,241.583,18.55,18.55,,
17-200,,_Gar-G,4:03,7miGrv,4:30,13:06,MorMak,13:31,_Gar-G,9:28,0,17,148.306,9.467,9.466666667,,
44837,,_Gar-G,4:06,Fairla,4:30,27:45:00,9miPrv,28:10:00,_Gar-G,24:04:00,0,10,314.412,0.067,0.066666667,,
44608,,_Gar-G,4:06,Nrt8mi,4:31,19:08,WodWcc,19:30,_Gar-G,15:24,0,16,182.033,15.4,15.4,,
900-207,,_Gar-G,4:06,9miPrv,4:31,10:26,OCColl,10:51,_Gar-G,6:45,0,10;46,103.122,6.75,6.75,,
7-200,,_Gar-G,4:12,MeiRed,4:30,13:19,MeiRed,13:37,_Gar-G,9:25,0,7,146.122,9.417,9.416666667,,
44636,,_Gar-G,4:12,JefSby,4:31,19:08,JefSby,19:22,_Gar-G,15:10,0,16,171.631,15.167,15.16666667,,
44624,,_Gar-G,4:15,BeaJef,4:30,27:50:00,BeaJef,28:05:00,_Gar-G,23:50,0,3,304.813,23.833,23.83333333,,
43-200,,_Gar-G,4:19,ScoGrv,4:40,11:54,ManWoo,12:09,_Gar-G,7:50,0,43,99.605,7.833,7.833333333,,
900-7,,_Gar-G,4:28,Rosa09,4:40,22:45,9miPrv,23:10,_Gar-G,18:42,0,2;10,254.212,18.7,18.7,,
11689,,_Gar-G,4:30,McnTel,4:55,18:35,McnTel,19:00,_Gar-G,14:30,0,32,204.748,14.5,14.5,,
17-201,,_Gar-G,4:39,7miGrv,5:06,13:36,MorMak,14:01,_Gar-G,9:22,0,17,148.306,9.367,9.366666667,,
