Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,Distance,#MissingDistances,Routes
38-200,,_Gar-S,3:24,PlyGrv,3:39,12:26,FrcGrt,12:35,_Gar-S,9:11,143.309,0,38
4-1,,_Gar-S,3:39,Fairgd,3:59,20:26,Fairgd,20:46,_Gar-S,17:07,200.163,0,4
7-200,,_Gar-S,3:43,MorMak,3:55,12:48,MorMak,13:00,_Gar-S,9:17,130.635,0,7
6-1,,_Gar-S,3:46,3rdMic,4:03,27:50:00,3rdMic,28:06:00,_Gar-S,24:20:00,288.467,0,6
4-202,,_Gar-S,3:48,WooLar,4:08,12:03,WooLar,12:19,_Gar-S,8:31,105.463,0,4
17-200,,_Gar-S,3:48,MorMak,4:00,14:06,MorMak,14:18,_Gar-S,10:30,157.219,0,17
9-200,,_Gar-S,3:51,Rosa04,4:07,13:16,RosaDB,13:32,_Gar-S,9:41,119.613,0,9
6-2,,_Gar-S,3:58,Grt8mi,4:13,22:24,3rdMic,22:40,_Gar-S,18:42,233.066,0,6
9-201,,_Gar-S,3:58,JefMyd,4:06,13:15,JefMyd,13:23,_Gar-S,9:25,110.251,0,9
8-1,,_Gar-S,4:00,WarTel,4:30,19:22,MorMak,19:34,_Gar-S,15:34,209.137,0,8
4-203,,_Gar-S,4:09,Fairgd,4:29,13:44,WooLar,14:00,_Gar-S,9:51,117.338,0,4
7-201,,_Gar-S,4:18,MorMak,4:30,13:29,MorMak,13:41,_Gar-S,9:23,130.635,0,7
8-2,,_Gar-S,4:18,MorMak,4:30,19:31,WarTel,20:01,_Gar-S,15:43,208.881,0,8
900-7,,_Gar-S,4:24,CdxMak,4:40,23:42,MorMak,23:54,_Gar-S,19:30,255.967,0,32;31
38-201,,_Gar-S,4:28,FrcGrt,4:37,13:26,FrcGrt,13:35,_Gar-S,9:07,128.887,0,38
900-1,,_Gar-S,4:42,BelAir,5:02,20:48,BelAir,21:08,_Gar-S,16:26,194.896,0,5;1
900-200,,_Gar-S,4:44,Rosa10,5:00,14:56,RosaDB,15:12,_Gar-S,10:28,132.693,0,1;5
